Course,Term_Offered,Campus
ARTS2457,Term 2 2019,"Main Campus, Kensington"
ARTS2663,Term 2 2019,"Main Campus, Kensington"
ARTS2693,Term 2 2019,"Main Campus, Kensington"
ARTS2694,Term 2 2019,"Main Campus, Kensington"
ARTS2696,Term 2 2019,"Main Campus, Kensington"
ARTS2750,Term 2 2019,"Main Campus, Kensington"
ARTS2754,Term 2 2019,"Main Campus, Kensington"
ARTS2815,Term 2 2019,"Main Campus, Kensington"
ARTS2819,Term 2 2019,"Main Campus, Kensington"
ARTS2845,Term 2 2019,"Main Campus, Kensington"
ARTS2870,Term 2 2019,"Main Campus, Kensington"
ARTS2873,Term 2 2019,"Main Campus, Kensington"
ARTS2904,Term 2 2019,"Main Campus, Kensington"
ARTS3013,Term 2 2019,"Main Campus, Kensington"
ARTS3021,Term 2 2019,"Main Campus, Kensington"
ARTS3023,Term 2 2019,"Main Campus, Kensington"
ARTS3030,Term 2 2019,"Main Campus, Kensington"
ARTS3040,Term 2 2019,"Main Campus, Kensington"
ARTS3052,Term 2 2019,"Main Campus, Kensington"
ARTS3060,Term 2 2019,"Main Campus, Kensington"
ARTS3065,Term 2 2019,"Main Campus, Kensington"
ARTS3067,Term 2 2019,"Main Campus, Kensington"
